trial_number,value,params
0,0.0166695862060353,{'num_factors': 50}
0,0.0192203000992062,"{'num_factors': 74, 'confidence_scaling': 'linear', 'alpha': 0.0003893264837995179}"
1,0.0203337553171746,"{'num_factors': 92, 'confidence_scaling': 'linear', 'alpha': 0.003148263951512428}"
2,0.0187814882022952,"{'num_factors': 70, 'confidence_scaling': 'linear', 'alpha': 8.08722136604032e-05}"
3,0.0114650556340643,"{'num_factors': 18, 'confidence_scaling': 'log', 'alpha': 0.30506642684984697}"
4,0.0159423510298905,"{'num_factors': 40, 'confidence_scaling': 'log', 'alpha': 0.25992677141256215}"
0,0.0279215378430028,{'reg': 7.315928450977662e-06}
1,0.0279979392256871,{'reg': 1.1135227912480095e-06}
2,0.0280401598307349,{'reg': 8.289496495824486e-06}
3,0.0280314854869819,{'reg': 0.0008573396412828487}
4,0.0280651620206586,{'reg': 0.07243613444064584}
5,0.0279174073100765,{'reg': 7.8619867179055e-06}
6,0.0279888796799783,{'reg': 0.00011887621938019995}
7,0.0279670433335346,{'reg': 0.00029708475126890687}
8,0.0280508073518536,{'reg': 0.005181256427462965}
9,0.027954940355463,{'reg': 8.858008589763805e-06}
10,0.028043699645793,{'reg': 0.03931424670360925}
11,0.0280855316797716,{'reg': 0.09773953938778009}
0,0.03610221309559367,"{'num_factors': 1600, 'confidence_scaling': 'linear', 'alpha': 13.064720626567858, 'epsilon': 39.356842403597724, 'reg': 1.6499125023190597e-09}"
1,0.031464970880437725,"{'num_factors': 1314, 'confidence_scaling': 'log', 'alpha': 10.395014716730566, 'epsilon': 24.439544041177747, 'reg': 7.34671818897064e-05}"
2,0.03108407916523813,"{'num_factors': 1049, 'confidence_scaling': 'log', 'alpha': 20.62403338921894, 'epsilon': 33.56124743791677, 'reg': 4.701319575738452e-07}"
3,0.035330716453621666,"{'num_factors': 1542, 'confidence_scaling': 'linear', 'alpha': 38.98920505203907, 'epsilon': 22.608601286173364, 'reg': 8.579223860628601e-05}"
4,0.036006416964641436,"{'num_factors': 1687, 'confidence_scaling': 'linear', 'alpha': 18.245785984398957, 'epsilon': 34.526070830326496, 'reg': 1.1818380782224638e-07}"
